lista,run,timp_sec
Inversat 100,1,0.00100055
Inversat 100,2,0.000639973
Inversat 100,3,0.000513679
Inversat 100,4,0.000498031
Inversat 100,5,0.000507686
Inversat 100,6,0.000543106
Inversat 100,7,0.000470081
Inversat 100,8,0.000529964
Inversat 100,9,0.00045733
Inversat 100,10,0.00047546
Inversat 100,11,0.000449585
Inversat 100,12,0.000471245
Inversat 100,13,0.000476251
Inversat 100,14,0.00054404
Inversat 100,15,0.000628122
Inversat 100,16,0.000686433
Inversat 100,17,0.000470181
Inversat 100,18,0.000460667
Inversat 100,19,0.000471122
Inversat 100,20,0.00064079
Inversat 10000,1,0.53875
Inversat 10000,2,0.542254
Inversat 10000,3,0.53919
Inversat 10000,4,0.537336
Inversat 10000,5,0.539869
Inversat 10000,6,0.536292
Inversat 10000,7,0.544801
Inversat 10000,8,0.542437
Inversat 10000,9,0.53805
Inversat 10000,10,0.540207
Inversat 10000,11,0.537899
Inversat 10000,12,0.538396
Inversat 10000,13,0.539603
Inversat 10000,14,0.538909
Inversat 10000,15,0.542356
Inversat 10000,16,0.538113
Inversat 10000,17,0.54097
Inversat 10000,18,0.541342
Inversat 10000,19,0.536203
Inversat 10000,20,0.542485
Inversat 100000,1,51.8337
Inversat 100000,2,51.7762
Inversat 100000,3,52.9156
Inversat 100000,4,51.7868
Inversat 100000,5,52.0964
Inversat 100000,6,52.9732
Inversat 100000,7,52.0883
Inversat 100000,8,52.1948
Inversat 100000,9,51.9234
Inversat 100000,10,52.8873
Inversat 100000,11,51.8806
Inversat 100000,12,51.8149
Inversat 100000,13,52.8504
Inversat 100000,14,51.795
Inversat 100000,15,51.7723
Inversat 100000,16,52.8553
Inversat 100000,17,52.0103
Inversat 100000,18,51.7946
Inversat 100000,19,52.7657
Inversat 100000,20,51.7704
Sortat 100,1,0.000851955
Sortat 100,2,0.000369499
Sortat 100,3,0.000362647
Sortat 100,4,0.000381497
Sortat 100,5,0.000426933
Sortat 100,6,0.000404186
Sortat 100,7,0.000410439
Sortat 100,8,0.000377461
Sortat 100,9,0.000361201
Sortat 100,10,0.000344703
Sortat 100,11,0.0003421
Sortat 100,12,0.000341305
Sortat 100,13,0.000335858
Sortat 100,14,0.000350389
Sortat 100,15,0.000361687
Sortat 100,16,0.000342675
Sortat 100,17,0.000438017
Sortat 100,18,0.000410901
Sortat 100,19,0.000404976
Sortat 100,20,0.00042354
Sortat 10000,1,0.00195183
Sortat 10000,2,0.00104626
Sortat 10000,3,0.00098407
Sortat 10000,4,0.00102628
Sortat 10000,5,0.000991407
Sortat 10000,6,0.000991146
Sortat 10000,7,0.00108126
Sortat 10000,8,0.00109647
Sortat 10000,9,0.00117814
Sortat 10000,10,0.00126382
Sortat 10000,11,0.000982924
Sortat 10000,12,0.00102713
Sortat 10000,13,0.000981635
Sortat 10000,14,0.00143277
Sortat 10000,15,0.00112
Sortat 10000,16,0.00108244
Sortat 10000,17,0.00100732
Sortat 10000,18,0.00107457
Sortat 10000,19,0.00102499
Sortat 10000,20,0.00102483
Sortat 100000,1,0.00740066
Sortat 100000,2,0.00627793
Sortat 100000,3,0.00854885
Sortat 100000,4,0.00675694
Sortat 100000,5,0.00776021
Sortat 100000,6,0.00816851
Sortat 100000,7,0.00704458
Sortat 100000,8,0.00646938
Sortat 100000,9,0.00665177
Sortat 100000,10,0.00667048
Sortat 100000,11,0.00669307
Sortat 100000,12,0.00659872
Sortat 100000,13,0.00638757
