lista,medie_timp
Inversat 100,0.000451021
Inversat 10000,0.00471314
Inversat 100000,0.0520177
Inversat 400000,0.224637
Inversat 1000000,0.507153
Inversat 10000000,6.51426
Sortat 100,0.000460473
Sortat 10000,0.0045004
Sortat 100000,8.68892e-05
Sortat 400000,0.225009
Sortat 1000000,0.525535
Sortat 10000000,6.01711
Aproape sortat 100,0.000456733
Aproape sortat 10000,0.00458127
Aproape sortat 100000,0.0499009
Aproape sortat 400000,0.173067
Aproape sortat 1000000,0.552081
Aproape sortat 10000000,6.80263
Aleator 100,0.000411737
Aleator 10000,0.0051033
Aleator 100000,0.055417
Aleator 400000,0.20413
Aleator 1000000,0.677286
Aleator 10000000,10.5935
Plat 100,0.000447036
Plat 10000,0.0049187
Plat 100000,0.051461
Plat 400000,0.17673
Plat 1000000,0.556202
Plat 10000000,6.26729
