lista,run,timp_sec
Inversat 100,1,0.000448558
Inversat 100,2,0.000462075
Inversat 100,3,0.000444168
Inversat 100,4,0.000467124
Inversat 100,5,0.000503315
Inversat 100,6,0.000421387
Inversat 100,7,0.000428822
Inversat 100,8,0.000444971
Inversat 100,9,0.000456817
Inversat 100,10,0.00043297
Inversat 10000,1,0.00469961
Inversat 10000,2,0.00470358
Inversat 10000,3,0.00490597
Inversat 10000,4,0.00467685
Inversat 10000,5,0.0047682
Inversat 10000,6,0.00477638
Inversat 10000,7,0.00472556
Inversat 10000,8,0.0046338
Inversat 10000,9,0.00464325
Inversat 10000,10,0.00459822
Inversat 100000,1,0.0607449
Inversat 100000,2,0.0511785
Inversat 100000,3,0.0505876
Inversat 100000,4,0.0510064
Inversat 100000,5,0.0507634
Inversat 100000,6,0.0511064
Inversat 100000,7,0.0518642
Inversat 100000,8,0.0506187
Inversat 100000,9,0.0523969
Inversat 100000,10,0.0499097
Inversat 400000,1,0.23256
Inversat 400000,2,0.221592
Inversat 400000,3,0.223815
Inversat 400000,4,0.225083
Inversat 400000,5,0.223183
Inversat 400000,6,0.225265
Inversat 400000,7,0.228795
Inversat 400000,8,0.222958
Inversat 400000,9,0.222474
Inversat 400000,10,0.220645
Inversat 1000000,1,0.122875
Inversat 1000000,2,0.621458
Inversat 1000000,3,0.585835
Inversat 1000000,4,0.58899
Inversat 1000000,5,0.593625
Inversat 1000000,6,0.59777
Inversat 1000000,7,0.599952
Inversat 1000000,8,0.62563
Inversat 1000000,9,0.598018
Inversat 1000000,10,0.137378
Inversat 10000000,1,6.84335
Inversat 10000000,2,6.56095
Inversat 10000000,3,6.62607
Inversat 10000000,4,5.92275
Inversat 10000000,5,6.38431
Inversat 10000000,6,6.66411
Inversat 10000000,7,6.19772
Inversat 10000000,8,6.77378
Inversat 10000000,9,6.66034
Inversat 10000000,10,6.50915
Sortat 100,1,0.000556488
Sortat 100,2,0.000422475
Sortat 100,3,0.000478598
Sortat 100,4,0.000486154
Sortat 100,5,0.000462647
Sortat 100,6,0.000433047
Sortat 100,7,0.000384756
Sortat 100,8,0.000497386
Sortat 100,9,0.000445278
