lista,run,timp_sec
Inversat 100,1,0.000436418
Inversat 100,2,0.000475627
Inversat 100,3,0.000413825
Inversat 100,4,0.000428068
Inversat 100,5,0.000425347
Inversat 10000,1,0.20816
Inversat 10000,2,0.208749
Inversat 10000,3,0.209775
Inversat 10000,4,0.207853
Inversat 10000,5,0.208249
Inversat 100000,1,20.4087
Inversat 100000,2,21.4684
Inversat 100000,3,21.8587
Inversat 100000,4,21.1045
Inversat 100000,5,20.2429
Sortat 100,1,0.00101406
Sortat 100,2,0.000442687
Sortat 100,3,0.000362829
Sortat 100,4,0.000364677
Sortat 100,5,0.000373448
Sortat 10000,1,0.00159118
Sortat 10000,2,0.00096267
Sortat 10000,3,0.00129398
Sortat 10000,4,0.00105941
Sortat 10000,5,0.0010483
Sortat 100000,1,0.0082987
Sortat 100000,2,0.0065764
Sortat 100000,3,0.00645806
Sortat 100000,4,0.00737594
Sortat 100000,5,0.00647398
Aproape sortat 100,1,0.000896829
Aproape sortat 100,2,0.000469524
Aproape sortat 100,3,0.000422543
Aproape sortat 100,4,0.00041293
Aproape sortat 100,5,0.000407346
Aproape sortat 10000,1,0.014994
Aproape sortat 10000,2,0.0158873
Aproape sortat 10000,3,0.0154856
Aproape sortat 10000,4,0.0142165
Aproape sortat 10000,5,0.0147697
Aproape sortat 100000,1,1.30686
Aproape sortat 100000,2,1.30006
Aproape sortat 100000,3,1.27759
Aproape sortat 100000,4,1.28584
Aproape sortat 100000,5,1.27178
Aleator 100,1,0.00120267
Aleator 100,2,0.000459393
Aleator 100,3,0.000434586
Aleator 100,4,0.000384615
Aleator 100,5,0.000400493
Aleator 10000,1,0.100029
Aleator 10000,2,0.100938
Aleator 10000,3,0.100442
Aleator 10000,4,0.0997939
Aleator 10000,5,0.100378
Aleator 100000,1,10.1015
Aleator 100000,2,10.3528
Aleator 100000,3,9.15967
Aleator 100000,4,10.3436
Aleator 100000,5,10.7889
Plat 100,1,0.00108328
Plat 100,2,0.000395937
Plat 100,3,0.00038196
Plat 100,4,0.000389365
Plat 100,5,0.000395793
Plat 10000,1,0.095938
Plat 10000,2,0.0964988
Plat 10000,3,0.0943225
Plat 10000,4,0.0947416
Plat 10000,5,0.0940452
Plat 100000,1,8.46508
Plat 100000,2,9.45353
Plat 100000,3,9.50541
Plat 100000,4,8.78951
Plat 100000,5,9.99707
