lista,medie_timp
Inversat 100,0.000454368
Inversat 10000,0.00196091
Inversat 100000,0.0199178
Inversat 400000,0.0798976
Inversat 1000000,0.200191
Inversat 10000000,2.25947
Sortat 100,0.00185973
Sortat 10000,0.00193904
Sortat 100000,0.0180503
Sortat 400000,0.0787589
Sortat 1000000,0.203933
Sortat 10000000,2.41023
Aproape sortat 100,0.000391713
Aproape sortat 10000,0.00215365
Aproape sortat 100000,0.0201851
Aproape sortat 400000,0.0864965
Aproape sortat 1000000,0.223203
Aproape sortat 10000000,2.58547
Aleator 100,0.000475315
Aleator 10000,0.00291285
Aleator 100000,0.0278087
Aleator 400000,0.116938
Aleator 1000000,0.314855
Aleator 10000000,3.48368
Plat 100,0.000387329
Plat 10000,0.00232341
Plat 100000,0.0221688
Plat 400000,0.0930226
Plat 1000000,0.245374
Plat 10000000,2.68084
