lista,run,timp_sec
Inversat 100,1,0.000901311
Inversat 100,2,0.000463394
Inversat 100,3,0.000383368
Inversat 100,4,0.000375168
Inversat 100,5,0.000446253
Inversat 100,6,0.000424055
Inversat 100,7,0.000401977
Inversat 100,8,0.000382329
Inversat 100,9,0.000337173
Inversat 100,10,0.000428649
Inversat 10000,1,0.00275552
Inversat 10000,2,0.00192274
Inversat 10000,3,0.00186159
Inversat 10000,4,0.00184701
Inversat 10000,5,0.00192105
Inversat 10000,6,0.00181745
Inversat 10000,7,0.00188284
Inversat 10000,8,0.00178307
Inversat 10000,9,0.00176536
Inversat 10000,10,0.00205246
Inversat 100000,1,0.0215484
Inversat 100000,2,0.0184188
Inversat 100000,3,0.0191289
Inversat 100000,4,0.0184206
Inversat 100000,5,0.0243637
Inversat 100000,6,0.0228014
Inversat 100000,7,0.0187434
Inversat 100000,8,0.0187375
Inversat 100000,9,0.0184891
Inversat 100000,10,0.0185259
Inversat 400000,1,0.0850793
Inversat 400000,2,0.0785298
Inversat 400000,3,0.0777929
Inversat 400000,4,0.0821237
Inversat 400000,5,0.0767727
Inversat 400000,6,0.0806674
Inversat 400000,7,0.0791443
Inversat 400000,8,0.0814009
Inversat 400000,9,0.0766945
Inversat 400000,10,0.0807701
Inversat 1000000,1,0.205406
Inversat 1000000,2,0.196996
Inversat 1000000,3,0.20215
Inversat 1000000,4,0.193077
Inversat 1000000,5,0.197183
Inversat 1000000,6,0.199395
Inversat 1000000,7,0.201686
Inversat 1000000,8,0.205356
Inversat 1000000,9,0.206507
Inversat 1000000,10,0.194155
Inversat 10000000,1,2.34446
Inversat 10000000,2,2.21952
Inversat 10000000,3,2.26565
Inversat 10000000,4,2.29648
Inversat 10000000,5,2.23361
Inversat 10000000,6,2.23302
Inversat 10000000,7,2.23167
Inversat 10000000,8,2.28036
Inversat 10000000,9,2.23902
Inversat 10000000,10,2.25089
Sortat 100,1,0.0154091
Sortat 100,2,0.000421484
Sortat 100,3,0.000353838
Sortat 100,4,0.000375489
Sortat 100,5,0.000327909
Sortat 100,6,0.000344848
Sortat 100,7,0.000353739
Sortat 100,8,0.000360439
Sortat 100,9,0.000330228
Sortat 100,10,0.000320269
Sortat 10000,1,0.00264267
Sortat 10000,2,0.0019436
Sortat 10000,3,0.0019184
Sortat 10000,4,0.00178837
Sortat 10000,5,0.00181176
Sortat 10000,6,0.00177279
Sortat 10000,7,0.00187048
Sortat 10000,8,0.00184094
Sortat 10000,9,0.00192665
Sortat 10000,10,0.00187475
Sortat 100000,1,0.0184151
Sortat 100000,2,0.0173846
