lista,medie_timp
Inversat 100,0.000446884
Inversat 10000,0.00159377
Inversat 100000,0.0109133
Inversat 400000,0.0459573
Inversat 1000000,0.0667528
Inversat 10000000,1.16346
Sortat 100,0.000457227
Sortat 10000,0.00140048
Sortat 100000,0.0108926
Sortat 400000,0.0426855
Sortat 1000000,0.11028
Sortat 10000000,1.11758
Aproape sortat 100,0.000434371
Aproape sortat 10000,0.00173346
Aproape sortat 100000,0.0145072
Aproape sortat 400000,0.0116722
Aproape sortat 1000000,0.157436
Aproape sortat 10000000,1.5754
Aleator 100,0.000453481
Aleator 10000,0.00249213
Aleator 100000,0.0228065
Aleator 400000,0.0969445
Aleator 1000000,0.195177
Aleator 10000000,2.5079
Plat 100,0.000462744
Plat 10000,0.00192068
Plat 100000,0.0170093
Plat 400000,0.0705046
Plat 1000000,0.18327
Plat 10000000,1.87794
