lista,run,timp_sec
Inversat 100,1,0.000402917
Inversat 100,2,0.00050425
Inversat 100,3,0.000419516
Inversat 100,4,0.000446763
Inversat 100,5,0.000468972
Inversat 100,6,0.000468412
Inversat 100,7,0.000420913
Inversat 100,8,0.000416085
Inversat 100,9,0.000408663
Inversat 100,10,0.000512345
Inversat 10000,1,0.00153868
Inversat 10000,2,0.00142235
Inversat 10000,3,0.00136501
Inversat 10000,4,0.00165378
Inversat 10000,5,0.00213075
Inversat 10000,6,0.00149205
Inversat 10000,7,0.00136339
Inversat 10000,8,0.00145994
Inversat 10000,9,0.00204793
Inversat 10000,10,0.00146379
Inversat 100000,1,0.0109826
Inversat 100000,2,0.0108016
Inversat 100000,3,0.0109285
Inversat 100000,4,0.011068
Inversat 100000,5,0.0110762
Inversat 100000,6,0.0109895
Inversat 100000,7,0.0105798
Inversat 100000,8,0.0106912
Inversat 100000,9,0.0109278
Inversat 100000,10,0.0110876
Inversat 400000,1,0.0445529
Inversat 400000,2,0.0431464
Inversat 400000,3,0.0435486
Inversat 400000,4,0.0509198
Inversat 400000,5,0.0434141
Inversat 400000,6,0.0489245
Inversat 400000,7,0.0444089
Inversat 400000,8,0.0467705
Inversat 400000,9,0.0459937
Inversat 400000,10,0.0478936
Inversat 1000000,1,0.132022
Inversat 1000000,2,0.123901
Inversat 1000000,3,0.117597
Inversat 1000000,4,-0.379803
Inversat 1000000,5,0.117673
Inversat 1000000,6,0.115957
Inversat 1000000,7,0.111993
Inversat 1000000,8,0.105382
Inversat 1000000,9,0.106008
Inversat 1000000,10,0.116798
Inversat 10000000,1,1.33388
Inversat 10000000,2,1.2616
Inversat 10000000,3,1.18768
Inversat 10000000,4,0.786243
Inversat 10000000,5,1.24281
Inversat 10000000,6,1.24438
Inversat 10000000,7,1.28751
Inversat 10000000,8,1.26944
Inversat 10000000,9,0.767776
Inversat 10000000,10,1.2533
Sortat 100,1,0.000496934
Sortat 100,2,0.000405239
Sortat 100,3,0.000415303
Sortat 100,4,0.000426832
Sortat 100,5,0.000407075
Sortat 100,6,0.000433618
Sortat 100,7,0.000431419
Sortat 100,8,0.000432254
Sortat 100,9,0.000545521
Sortat 100,10,0.00057808
Sortat 10000,1,0.00136724
Sortat 10000,2,0.0013074
Sortat 10000,3,0.00135752
Sortat 10000,4,0.00133411
Sortat 10000,5,0.00129995
Sortat 10000,6,0.00209857
Sortat 10000,7,0.00138443
Sortat 10000,8,0.00127026
Sortat 10000,9,0.00128085
Sortat 10000,10,0.00130443
Sortat 100000,1,0.0108203
Sortat 100000,2,0.0108217
Sortat 100000,3,0.0111994
Sortat 100000,4,0.0103939
Sortat 100000,5,0.010787
Sortat 100000,6,0.0113117
Sortat 100000,7,0.0112978
Sortat 100000,8,0.0110652
Sortat 100000,9,0.0105744
Sortat 100000,10,0.0106546
Sortat 400000,1,0.0429733
Sortat 400000,2,0.0444048
Sortat 400000,3,0.043292
Sortat 400000,4,0.0425207
Sortat 400000,5,0.0423276
Sortat 400000,6,0.0413089
Sortat 400000,7,0.0416071
Sortat 400000,8,0.0435449
Sortat 400000,9,0.0426993
Sortat 400000,10,0.042176
Sortat 1000000,1,0.103447
Sortat 1000000,2,0.10628
Sortat 1000000,3,0.108304
Sortat 1000000,4,0.114472
Sortat 1000000,5,0.115765
Sortat 1000000,6,0.118619
Sortat 1000000,7,0.105205
Sortat 1000000,8,0.110187
Sortat 1000000,9,0.11053
Sortat 1000000,10,0.109991
Sortat 10000000,1,1.25792
Sortat 10000000,2,0.736369
Sortat 10000000,3,1.35947
Sortat 10000000,4,1.19025
Sortat 10000000,5,1.20784
Sortat 10000000,6,0.666145
Sortat 10000000,7,1.19938
Sortat 10000000,8,1.1767
Sortat 10000000,9,1.18615
Sortat 10000000,10,1.19556
Aproape sortat 100,1,0.000527965
Aproape sortat 100,2,0.000423267
Aproape sortat 100,3,0.000518351
Aproape sortat 100,4,0.00046081
Aproape sortat 100,5,0.000432002
Aproape sortat 100,6,0.000422861
Aproape sortat 100,7,0.000390839
Aproape sortat 100,8,0.000384789
Aproape sortat 100,9,0.000406966
Aproape sortat 100,10,0.000375858
Aproape sortat 10000,1,0.00162601
Aproape sortat 10000,2,0.00170318
Aproape sortat 10000,3,0.00226444
Aproape sortat 10000,4,0.00175223
Aproape sortat 10000,5,0.00161799
Aproape sortat 10000,6,0.00172158
Aproape sortat 10000,7,0.00169674
Aproape sortat 10000,8,0.00165295
Aproape sortat 10000,9,0.00165839
Aproape sortat 10000,10,0.00164109
Aproape sortat 100000,1,0.0155949
Aproape sortat 100000,2,0.014253
Aproape sortat 100000,3,0.014393
Aproape sortat 100000,4,0.0144507
Aproape sortat 100000,5,0.0144631
Aproape sortat 100000,6,0.0148526
Aproape sortat 100000,7,0.0140258
Aproape sortat 100000,8,0.0145523
Aproape sortat 100000,9,0.0141687
Aproape sortat 100000,10,0.0143179
Aproape sortat 400000,1,0.0613
Aproape sortat 400000,2,0.0592781
Aproape sortat 400000,3,5.41016
Aproape sortat 400000,4,-5.77929
Aproape sortat 400000,5,0.0605964
Aproape sortat 400000,6,0.058845
Aproape sortat 400000,7,0.0704317
Aproape sortat 400000,8,0.0590781
Aproape sortat 400000,9,0.0583852
Aproape sortat 400000,10,0.0579366
Aproape sortat 1000000,1,0.159453
Aproape sortat 1000000,2,0.152228
Aproape sortat 1000000,3,0.159836
Aproape sortat 1000000,4,0.152774
Aproape sortat 1000000,5,0.156626
Aproape sortat 1000000,6,0.163275
Aproape sortat 1000000,7,0.163225
Aproape sortat 1000000,8,0.151674
Aproape sortat 1000000,9,0.164106
Aproape sortat 1000000,10,0.151162
Aproape sortat 10000000,1,1.75561
Aproape sortat 10000000,2,7.10523
Aproape sortat 10000000,3,-4.10643
Aproape sortat 10000000,4,1.77259
Aproape sortat 10000000,5,1.68178
Aproape sortat 10000000,6,1.24667
Aproape sortat 10000000,7,1.74232
Aproape sortat 10000000,8,1.68341
Aproape sortat 10000000,9,1.17546
Aproape sortat 10000000,10,1.69737
Aleator 100,1,0.000563847
Aleator 100,2,0.000472558
Aleator 100,3,0.000435939
Aleator 100,4,0.000426754
Aleator 100,5,0.000436138
Aleator 100,6,0.000424027
Aleator 100,7,0.000420561
Aleator 100,8,0.0004057
Aleator 100,9,0.000468157
Aleator 100,10,0.000481128
Aleator 10000,1,0.00240516
Aleator 10000,2,0.00240439
Aleator 10000,3,0.00237507
Aleator 10000,4,0.0025191
Aleator 10000,5,0.00242865
Aleator 10000,6,0.00238758
Aleator 10000,7,0.00326193
Aleator 10000,8,0.00242221
Aleator 10000,9,0.00233851
Aleator 10000,10,0.0023787
Aleator 100000,1,0.0226304
Aleator 100000,2,0.0225323
Aleator 100000,3,0.022392
Aleator 100000,4,0.022615
Aleator 100000,5,0.0222817
Aleator 100000,6,0.0221567
Aleator 100000,7,0.0225574
Aleator 100000,8,0.0224576
Aleator 100000,9,0.0223488
Aleator 100000,10,0.0260934
Aleator 400000,1,0.105232
Aleator 400000,2,0.10026
Aleator 400000,3,0.0958888
Aleator 400000,4,0.0932944
Aleator 400000,5,0.0930187
Aleator 400000,6,0.0999701
Aleator 400000,7,0.0951986
Aleator 400000,8,0.0930434
Aleator 400000,9,0.0930104
Aleator 400000,10,0.100528
Aleator 1000000,1,0.245968
Aleator 1000000,2,0.249611
Aleator 1000000,3,0.243076
Aleator 1000000,4,0.255537
Aleator 1000000,5,0.242006
Aleator 1000000,6,0.247894
Aleator 1000000,7,-0.258718
Aleator 1000000,8,0.242914
Aleator 1000000,9,0.243162
Aleator 1000000,10,0.240319
Aleator 10000000,1,2.75242
Aleator 10000000,2,2.28768
Aleator 10000000,3,2.78266
Aleator 10000000,4,2.24532
Aleator 10000000,5,2.77579
Aleator 10000000,6,2.21551
Aleator 10000000,7,2.72206
Aleator 10000000,8,2.31415
Aleator 10000000,9,2.70593
Aleator 10000000,10,2.27752
Plat 100,1,0.00054573
Plat 100,2,0.00046312
Plat 100,3,0.000463
Plat 100,4,0.000511146
Plat 100,5,0.000459732
Plat 100,6,0.000429263
Plat 100,7,0.000441011
Plat 100,8,0.000412487
Plat 100,9,0.000408374
Plat 100,10,0.000493579
Plat 10000,1,0.00190516
Plat 10000,2,0.00197415
Plat 10000,3,0.00187652
Plat 10000,4,0.00186074
Plat 10000,5,0.00185291
Plat 10000,6,0.00189087
Plat 10000,7,0.00188853
Plat 10000,8,0.00200315
Plat 10000,9,0.00196409
Plat 10000,10,0.00199068
Plat 100000,1,0.0170216
Plat 100000,2,0.017342
Plat 100000,3,0.0172253
Plat 100000,4,0.0166465
Plat 100000,5,0.0168718
Plat 100000,6,0.0171154
Plat 100000,7,0.0172597
Plat 100000,8,0.0167714
Plat 100000,9,0.0169096
Plat 100000,10,0.0169298
Plat 400000,1,0.0706657
Plat 400000,2,0.0741967
Plat 400000,3,0.0700409
Plat 400000,4,0.0698199
Plat 400000,5,0.0691557
Plat 400000,6,0.0698392
Plat 400000,7,0.0699728
Plat 400000,8,0.0696236
Plat 400000,9,0.0699848
Plat 400000,10,0.0717466
Plat 1000000,1,0.177825
Plat 1000000,2,0.179771
Plat 1000000,3,0.192671
Plat 1000000,4,0.186165
Plat 1000000,5,0.180208
Plat 1000000,6,0.192905
Plat 1000000,7,0.186312
Plat 1000000,8,0.177162
Plat 1000000,9,0.178221
Plat 1000000,10,0.181461
Plat 10000000,1,1.59869
Plat 10000000,2,2.03179
Plat 10000000,3,2.04917
Plat 10000000,4,1.59233
Plat 10000000,5,2.10309
Plat 10000000,6,2.04146
Plat 10000000,7,1.58218
Plat 10000000,8,2.08869
Plat 10000000,9,1.58745
Plat 10000000,10,2.10455
