lista,run,timp_sec
Inversat 100,1,0.00165365
Inversat 100,2,0.000575677
Inversat 100,3,0.000465611
Inversat 100,4,0.000473633
Inversat 100,5,0.000455924
Inversat 100,6,0.000447995
Inversat 100,7,0.000401021
Inversat 100,8,0.00059454
Inversat 100,9,0.000507461
Inversat 100,10,0.000517171
Inversat 10000,1,0.194835
Inversat 10000,2,0.194908
Inversat 10000,3,0.199835
Inversat 10000,4,0.210075
Inversat 10000,5,0.1922
Inversat 10000,6,0.190934
Inversat 10000,7,0.191892
Inversat 10000,8,0.194874
Inversat 10000,9,0.18721
Inversat 10000,10,0.194052
Inversat 100000,1,19.9328
Inversat 100000,2,19.7931
Inversat 100000,3,20.2055
Inversat 100000,4,19.3844
Inversat 100000,5,21.5076
Inversat 100000,6,18.6748
Inversat 100000,7,19.5896
Inversat 100000,8,18.3822
Inversat 100000,9,19.0286
Inversat 100000,10,18.9342
Sortat 100,1,0.00171853
Sortat 100,2,0.000439049
Sortat 100,3,0.000421632
Sortat 100,4,0.000387872
Sortat 100,5,0.000409825
Sortat 100,6,0.00037631
Sortat 100,7,0.000395027
Sortat 100,8,0.000388082
Sortat 100,9,0.000376942
Sortat 100,10,0.000431379
Sortat 10000,1,0.185171
Sortat 10000,2,0.178054
Sortat 10000,3,0.179572
Sortat 10000,4,0.181142
Sortat 10000,5,0.178205
Sortat 10000,6,0.177016
Sortat 10000,7,0.179646
Sortat 10000,8,0.177538
Sortat 10000,9,0.17774
Sortat 10000,10,0.177422
Sortat 100000,1,18.2342
Sortat 100000,2,18.4875
Sortat 100000,3,19.0764
Sortat 100000,4,18.7757
Sortat 100000,5,18.4899
Sortat 100000,6,17.9775
Sortat 100000,7,18.6524
Sortat 100000,8,17.9299
Sortat 100000,9,18.3922
Sortat 100000,10,17.6746
Aproape sortat 100,1,0.00143692
Aproape sortat 100,2,0.000443487
Aproape sortat 100,3,0.000346605
Aproape sortat 100,4,0.000385613
Aproape sortat 100,5,0.000430518
Aproape sortat 100,6,0.000372634
Aproape sortat 100,7,0.000363523
Aproape sortat 100,8,0.000362298
Aproape sortat 100,9,0.000357243
Aproape sortat 100,10,0.000354226
Aproape sortat 10000,1,0.177926
Aproape sortat 10000,2,0.174979
Aproape sortat 10000,3,0.17875
Aproape sortat 10000,4,0.178263
Aproape sortat 10000,5,0.176012
Aproape sortat 10000,6,0.1782
Aproape sortat 10000,7,0.183681
Aproape sortat 10000,8,0.179105
Aproape sortat 10000,9,0.177474
Aproape sortat 10000,10,0.179882
Aproape sortat 100000,1,18.3976
Aproape sortat 100000,2,17.9779
Aproape sortat 100000,3,18.7437
Aproape sortat 100000,4,18.6303
Aproape sortat 100000,5,17.9506
Aproape sortat 100000,6,18.1721
Aproape sortat 100000,7,18.0486
Aproape sortat 100000,8,19.0842
Aproape sortat 100000,9,17.4522
Aproape sortat 100000,10,18.3326
Aleator 100,1,0.00301534
Aleator 100,2,0.000420953
Aleator 100,3,0.000353706
Aleator 100,4,0.000361405
Aleator 100,5,0.000363021
Aleator 100,6,0.000365142
Aleator 100,7,0.000352071
Aleator 100,8,0.000347457
Aleator 100,9,0.000376725
Aleator 100,10,0.000375799
Aleator 10000,1,0.175861
Aleator 10000,2,0.17685
Aleator 10000,3,0.176162
Aleator 10000,4,0.174357
Aleator 10000,5,0.1763
Aleator 10000,6,0.175337
Aleator 10000,7,0.175874
Aleator 10000,8,0.175208
Aleator 10000,9,0.175311
Aleator 10000,10,0.175798
Aleator 100000,1,17.9601
Aleator 100000,2,18.7176
Aleator 100000,3,18.682
Aleator 100000,4,17.7008
Aleator 100000,5,18.4328
Aleator 100000,6,18.5973
Aleator 100000,7,18.6487
Aleator 100000,8,17.5346
Aleator 100000,9,18.5771
Aleator 100000,10,18.8578
Plat 100,1,0.000951832
Plat 100,2,0.000372957
Plat 100,3,0.00053169
Plat 100,4,0.000372743
Plat 100,5,0.000375275
Plat 100,6,0.00038457
Plat 100,7,0.00036281
Plat 100,8,0.00035712
Plat 100,9,0.000351925
Plat 100,10,0.000402919
Plat 10000,1,0.182918
Plat 10000,2,0.187716
Plat 10000,3,0.181298
Plat 10000,4,0.181867
Plat 10000,5,0.182226
Plat 10000,6,0.180857
Plat 10000,7,0.182604
Plat 10000,8,0.183444
Plat 10000,9,0.198258
Plat 10000,10,0.182799
Plat 100000,1,18.8322
Plat 100000,2,18.297
Plat 100000,3,17.8202
Plat 100000,4,18.2846
Plat 100000,5,17.8163
Plat 100000,6,19.6272
Plat 100000,7,18.0985
Plat 100000,8,18.3507
Plat 100000,9,18.393
Plat 100000,10,17.8234
